id,term_en,term_fr,definition_en,definition_fr,source,category
tas,TAS (Test Automation Solution),Solution d'automatisation des tests,,Ensemble complet d'outils de processus et de ressources mis en place pour automatiser les activités de test dans un contexte donné,ISTQB CTAL-TAE,automation
test_automation,Test Automation,Automatisation des tests,,Utilisation de logiciels pour effectuer ou soutenir les activités de test, par exemple la gestion des tests, la conception des tests, l'exécution des tests et la vérification des résultats,ISTQB CTFL,automation
test_automation_engineer,Test Automation Engineer,Ingénieur en automatisation des tests,,Professionnel spécialisé dans la conception, le développement et la maintenance de solutions d'automatisation des tests,ISTQB CTAL-TAE,roles
test_context,Test Context,Contexte de test,,Ensemble des conditions et circonstances dans lesquelles les tests sont planifiés et exécutés,ISTQB CTFL,fundamentals
test_harness,Test Harness,Harnais de tests,,Collection d'outils logiciels et de données de test configurés pour tester un programme en simulant l'environnement d'exécution,IEEE 610,tools
test_logging,Test Logging,Journalisation des tests,,Enregistrement automatique des activités et résultats de test pour faciliter l'analyse et le débogage,ISTQB CTAL-TAE,techniques
test_level,Test Level,Niveau de test,A specific instantiation of a test process,,ISTQB,process
test_plan,Test Plan,Plan de test,Documentation describing the test objectives to be achieved and the means and the schedule for achieving them, organized to coordinate testing,,ISTQB,documentation
test_policy,Test Policy,Politique de test,High-level documentation describing the principles, approach and major objectives of the organization regarding testing,,ISTQB,documentation
test_procedure,Test Procedure,Procédure de test,A sequence of test cases in execution order and any associated actions that may be required to set up the initial preconditions and any wrap-up activities after execution,,ISTQB,documentation
test_progress_report,Test Progress Report,Rapport d'avancement des tests,,Document résumant les activités de test et les résultats obtenus pendant une période donnée,ISTQB CTAL-TM,documentation
test_script,Test Script,Script de test,,Séquence d'instructions qui peut être exécutée par un outil d'exécution de test,ISTQB CTAL-TAE,automation
test_step,Test Step,Étape de test,,Action individuelle la plus petite dans un script de test ou un cas de test,ISTQB CTAL-TAE,fundamentals
test_strategy,Test Strategy,Stratégie de test,A description of how to perform testing to reach test objectives under given circumstances,,ISTQB,documentation
test_suite,Test Suite,Suite de test,A set of test scripts or test procedures to be executed in a specific test run,,ISTQB,fundamentals
test_completion_report,Test Completion Report,Rapport de synthèse de test,A type of test report produced at completion milestones that provides an evaluation of the corresponding test items against exit criteria,,ISTQB,documentation
tdd,Test-Driven Development,Développement piloté par les tests,,Pratique de développement où les tests sont écrits avant le code de production,Agile Testing,methodologies
test_adaptation_layer,Test Adaptation Layer,Couche d'adaptation des tests,,Couche dans une architecture d'automatisation des tests qui fournit les interfaces nécessaires pour interagir avec le système sous test,ISTQB CTAL-TAE,automation
test_automation_architecture,Test Automation Architecture,Architecture d'automatisation des tests,,Structure organisationnelle et technique d'un système d'automatisation des tests définissant les composants leurs relations et les principes directeurs,ISTQB CTAL-TAE,automation
test_automation_framework,Test Automation Framework (TAF),Framework d'automatisation des tests,,Infrastructure logicielle qui fournit les outils bibliothèques et conventions nécessaires pour créer et exécuter des tests automatisés de manière structurée,ISTQB CTAL-TAE,automation
test_automation_solution,Test Automation Solution,Solution d'automatisation des tests,,Ensemble complet d'outils de processus et de ressources mis en place pour automatiser les activités de test dans un contexte donné,ISTQB CTAL-TAE,automation
test_histogram,Test Histogram,Histogramme de test,,Représentation graphique de la distribution des résultats de test ou des métriques de test sur une période donnée,ISTQB CTAL-TAE,metrics
testability,Testability,Testabilité,,Degré d'efficacité et d'efficience avec lequel les critères de test peuvent être établis pour un système et les tests peuvent être effectués,ISTQB CTFL,fundamentals
testware,Testware,Artefacts de test,,Tous les produits de travail créés pendant le processus de test incluant les plans cas de test procédures et données de test,ISTQB CTFL,fundamentals
